row m/z,row retention time,SCCe0124.mzdata.xml Peak area,SCCe0125.mzdata.xml Peak area,SCCe0126.mzdata.xml Peak area,SCCe0127.mzdata.xml Peak area,SCCe0128.mzdata.xml Peak area,SCCe0129.mzdata.xml Peak area,SCCe0130.mzdata.xml Peak area,SCCe0131.mzdata.xml Peak area,SCCe0132.mzdata.xml Peak area,SCCe0133.mzdata.xml Peak area,SCCe0134.mzdata.xml Peak area,SCCe0135.mzdata.xml Peak area,SCCe0136.mzdata.xml Peak area,SCCe0137.mzdata.xml Peak area,SCCe0138.mzdata.xml Peak area
,,Syncom P5 Set 4,Syncom P5 Set 4,Syncom P5 Set 4,Syncom P5 + B. subtilis P5_B1 Set 4,Syncom P5 + B. subtilis P5_B1 Set 4,Syncom P5 + B. subtilis P5_B1 Set 4,Syncom P5 + B. subtilis P5_B1 sfp Set 4,Syncom P5 + B. subtilis P5_B1 sfp Set 4,Syncom P5 + B. subtilis P5_B1 sfp Set 4,Syncom P5 + B. subtilis P5_B1 srfAC Set 4,Syncom P5 + B. subtilis P5_B1 srfAC Set 4,Syncom P5 + B. subtilis P5_B1 srfAC Set 4,Syncom P5 + B. subtilis P5_B1 ppsC Set 4,Syncom P5 + B. subtilis P5_B1 ppsC Set 4,Syncom P5 + B. subtilis P5_B1 ppsC Set 4
310.310119,9.427758621,300917.7933,592999.7709,1413424.292,156483.079,111508.5385,151244.988,441446.3071,132541.3288,2475218.593,96776.95342,327910.1152,136924.7957,1250659.033,2376482.71,4032521.267
459.2805483,3.800955752,340.7768701,523.8113223,669.2398709,1261224.763,1760520.849,1050979.813,1219.080932,302.7164392,1121.918717,1005.555702,1956.952059,865.4693765,1279716.195,2187339.169,2076002.648
245.1858474,3.38642069,1742.946089,1382.494532,1530.191093,73890.69409,93176.53023,51433.95728,7016.397308,10846.06386,8700.374791,8294.395129,5278.617063,5544.226904,68546.65111,123994.9155,109666.6931
664.4899009,10.42908966,882173.0602,858637.1901,823327.4697,1533140.687,1203692.189,1007349.791,1300628.599,994004.3447,1389087.728,1184267.937,1197212.518,1076905.653,863963.8795,1829472.227,1759435.725
676.4900274,10.34513103,658460.3939,588672.9938,608244.6344,713700.6228,530452.8556,436457.1997,678480.5809,479010.1788,713846.867,528115.0408,532280.5945,486696.294,372449.7882,792821.8287,709521.2508
1054.700657,8.5724375,0,0,31.08172852,614438.5834,664828.8824,383454.8746,1498.645486,22.05585846,29.77887085,417.2297278,177.8844177,103.9077631,333086.1342,394286.7506,633226.8248
417.3319708,6.551517647,3066.245647,1040.023812,7471.472252,6801.242581,4583.964364,2548.015201,9549.969437,4255.631615,6867.91869,8144.181083,19341.32113,10267.28497,0,9717.58849,5912.623176
138.0547406,3.440351724,946335.2181,1272404.263,1118229.713,1933342.633,1541940.705,1445186.561,1572482.4,1575106.058,1363683.778,1338095.221,1730544.522,1817445.532,1520046.065,1894175.995,1796613.787
120.0440284,3.457572414,1017723.2,1461095.639,1248947.187,2217788.764,1738128.05,1620228.263,1784366.182,1849393.596,1590268.909,1568018.313,1927832.202,2044203.391,1873501.277,2246617.978,2076346.235
229.1542331,2.463903448,167591.9603,185456.0497,263709.6756,298562.2903,507664.4829,231764.2326,269591.9691,440448.5427,370762.6068,260422.1884,332653.0523,535329.6741,323045.375,434169.1718,439331.4494
851.397317,7.08097931,635786.0062,519495.1121,472012.9288,646344.24,568955.0271,503234.5241,541616.2461,496357.5685,568968.8829,486178.9553,451412.6494,653122.158,467759.3525,440774.7694,468219.851
671.5557274,9.424602041,25997.76997,30774.23585,39258.83205,12532.22912,9215.163063,10259.95152,34346.94499,43811.03656,40987.90646,34923.42441,50370.65483,40553.59898,4957.671716,37819.66839,26496.27428
360.1915896,3.147075862,27009.12334,46147.65884,100975.9568,54242.59076,91406.39431,27054.04938,45604.74056,84686.74359,50394.46005,74883.96015,108552.1882,63314.24813,44209.15654,99424.53015,74924.60326
704.5180548,10.53475172,4194.238227,4833.843653,10182.12808,5387.866571,6654.709985,1322.157966,7812.792314,4832.822682,7396.886808,9688.444763,1348.762256,6105.562999,2117.425713,6105.519545,9916.318635
617.1175063,9.931236842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752.5145436,6.544648276,248913.5484,295464.5158,260184.6318,256193.583,297890.8258,326970.756,283481.9824,286254.0812,255204.8685,271897.4953,348680.2582,310312.6267,355221.4722,368649.0822,317853.899
610.1831475,10.70127273,0,0,0,0,295.1415692,848.4496097,0,315.78,0,247.4772729,0,247.4891524,273.9242505,0,0
572.3649215,4.641269231,0,0,0,1321259.219,1250185.836,707560.3617,111.5549634,0,0,0,0,0,772866.7034,1011570.633,1099122.347
349.1713221,8.532980769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349.1702303,6.307356436,82.06000168,30.9787262,67.68208557,0,25.08007324,124.0210693,0,18.51666641,18.90085831,0,25.0992865,27.24468933,38.14831787,19.64278152,91.25343933
481.313217,9.078099291,571446.911,604554.7149,570343.6579,357241.1801,364560.3905,465382.7728,532679.7811,577843.0266,635955.8121,581482.08,611843.6883,667378.8745,605761.0088,434895.5281,415539.6936
300.2164941,3.148492647,698827.7841,428663.5201,479635.4586,606594.7252,495894.2798,650996.5324,469270.6899,456667.0428,595363.6241,452811.5876,417934.6855,612122.7946,508556.7963,449775.1276,467712.3924
687.5206022,10.97901538,189402.0289,181473.604,202980.3358,186110.0734,143464.3686,135037.4266,172821.5876,208709.3738,201931.6059,138305.5444,154119.9779,178013.3772,190625.1276,197051.8165,190699.5546
756.6081174,10.66307317,6894.308245,14388.26041,10020.06927,8165.814208,5009.026036,4136.83634,19151.63704,7881.943426,11596.30719,6295.716128,7841.132341,7562.067514,3778.322033,20552.47716,15871.6603
236.1407136,5.122558621,322213.5532,321872.7341,289257.0843,279833.5009,177759.9337,269521.7892,233750.3865,200060.2793,319320.9868,221599.0368,228986.1079,391350.2424,307185.886,232781.2528,231961.6061
255.1586441,5.855806897,281564.0916,297142.656,266323.9074,316216.8745,276027.1017,298427.8459,287092.3252,322656.9708,382331.7178,282888.4517,308700.5804,457809.3428,341048.2286,376757.3196,352027.0335
600.4154448,10.24366429,177263.8922,166653.3726,164909.5797,159104.4355,157687.8219,188391.76,151449.9963,186737.1653,193768.0991,152799.9767,166121.6537,174653.5767,218374.3337,153872.4965,163609.8228
748.5402477,11.07512403,180660.4937,225984.4092,179188.3322,178405.0379,172185.4609,195790.0858,197233.9496,190053.3326,184014.9736,138572.75,154597.4013,155124.2819,178336.5803,153012.6776,157896.5154
553.2553956,9.772937931,674657.8216,275249.3388,330085.8701,236344.3255,394118.1758,262957.8457,162377.3969,398937.9063,224954.9138,173561.7739,207477.0557,482352.1422,286349.0773,270542.9113,296706.0637
